"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2001,127,102,25,0,0,0,0,79,56,31,0,0,0,106,21
"Adrian, MI","10300",2001,183,115,44,20,4,0,0,177,105,46,0,0,183,0,0
"Aguadilla-Isabela, PR","10380",2001,105,98,7,0,0,0,0,71,41,21,0,0,0,105,0
"Akron, OH","10420",2001,365,101,214,35,14,1,0,203,108,61,0,0,101,264,0
"Alamogordo, NM","10460",2001,51,51,0,0,0,0,0,38,25,16,0,0,0,0,51
"Albany, GA","10500",2001,116,60,53,3,0,0,0,138,74,50,0,0,0,106,10
"Albany, OR","10540",2001,120,103,16,1,0,0,0,104,62,27,0,0,0,120,0
"Albany-Schenectady-Troy, NY","10580",2001,365,270,71,14,10,0,0,192,82,42,15,0,292,58,0
"Albert Lea, MN","10660",2001,29,20,9,0,0,0,0,88,82,45,0,0,0,29,0
"Albuquerque, NM","10740",2001,365,142,206,17,0,0,0,150,90,55,1,39,247,41,37
"Alexandria, LA","10780",2001,360,257,92,10,1,0,0,151,77,42,0,0,295,65,0
"Alexandria, MN","10820",2001,42,37,5,0,0,0,0,69,51,24,0,0,0,30,12
"Allentown-Bethlehem-Easton, PA-NJ","10900",2001,365,135,180,37,12,1,0,204,119,58,0,29,132,188,16
"Alpena, MI","10980",2001,119,86,31,2,0,0,0,113,75,27,0,0,0,119,0
"Altoona, PA","11020",2001,365,284,58,20,3,0,0,177,87,38,0,154,188,0,23
"Amarillo, TX","11100",2001,97,92,5,0,0,0,0,70,42,28,0,0,0,97,0
"Americus, GA","11140",2001,243,163,53,26,1,0,0,154,105,45,0,0,243,0,0
"Ames, IA","11180",2001,257,216,41,0,0,0,0,89,58,33,0,0,175,82,0
"Anchorage, AK","11260",2001,305,244,59,2,0,0,0,113,63,30,133,0,0,75,97
"Ann Arbor, MI","11460",2001,354,237,90,19,6,2,0,203,93,42,0,0,282,72,0
"Appleton, WI","11540",2001,244,172,59,10,3,0,0,161,80,42,0,0,165,79,0
"Ardmore, OK","11620",2001,256,144,85,24,3,0,0,172,101,48,0,0,190,66,0
"Arkadelphia, AR","11660",2001,362,294,60,8,0,0,0,133,71,40,0,0,362,0,0
"Asheville, NC","11700",2001,307,128,143,35,1,0,0,171,105,56,0,0,242,63,2
"Ashtabula, OH","11780",2001,214,140,33,30,11,0,0,200,129,45,0,0,214,0,0
"Athens, OH","11900",2001,114,63,50,1,0,0,0,114,73,45,0,0,0,112,2
"Athens, TN","11940",2001,356,278,76,2,0,0,0,120,65,26,0,241,0,98,17
"Athens-Clarke County, GA","12020",2001,100,26,71,2,1,0,0,168,84,59,0,0,0,100,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2001,365,62,221,57,23,2,0,209,140,68,0,31,117,209,8
"Atlantic City-Hammonton, NJ","12100",2001,364,280,58,18,8,0,0,187,90,39,0,0,311,53,0
"Auburn, IN","12140",2001,121,118,3,0,0,0,0,70,31,16,0,0,0,0,121
"Augusta-Richmond County, GA-SC","12260",2001,365,205,114,42,4,0,0,197,108,47,0,3,287,74,1
"Augusta-Waterville, ME","12300",2001,208,175,19,11,3,0,0,179,77,38,0,0,180,0,28
"Austin-Round Rock, TX","12420",2001,365,208,144,13,0,0,0,150,77,48,0,0,171,194,0
"Bakersfield, CA","12540",2001,365,35,126,101,90,13,0,210,177,108,0,22,225,111,7
"Baltimore-Columbia-Towson, MD","12580",2001,365,100,190,47,22,6,0,225,140,65,0,23,145,196,1
"Bangor, ME","12620",2001,365,313,37,10,5,0,0,195,63,36,0,0,352,11,2
"Baraboo, WI","12660",2001,183,137,38,8,0,0,0,122,71,43,0,0,183,0,0
"Barnstable Town, MA","12700",2001,365,296,43,13,10,3,0,220,84,39,0,8,344,13,0
